,sentence,correct label,predicted label,is correct,is train,
0,the south part of town,inform,inform,True,True,
1,whats the address,request,request,True,True,
2,yes,affirm,affirm,True,True,
3,phone number,request,request,True,True,
4,noise,null,null,True,True,
5,anything else,reqalts,reqalts,True,True,
6,um,null,null,True,True,
7,im looking for a restaurant in the center and it should serve traditional food,inform,inform,True,True,
8,noise,null,null,True,True,
9,can i get the phone number,request,request,True,True,
10,any expensive,inform,inform,True,True,
11,anything else,reqalts,reqalts,True,True,
12,whats the address and phone number,request,request,True,True,
13,irish food,inform,inform,True,True,
14,im looking for a moderately priced restaurant in the north,inform,inform,True,True,
15,sil,null,null,True,True,
16,thank you good bye,thankyou,thankyou,True,True,
17,and the price range,request,request,True,True,
18,thank you good bye,thankyou,thankyou,True,True,
19,right,affirm,affirm,True,True,
20,north,inform,inform,True,True,
21,thank you good bye,thankyou,thankyou,True,True,
22,can i get the phone number,request,request,True,True,
23,thank you good bye,thankyou,thankyou,True,True,
24,no,negate,negate,True,True,
25,i dont care,inform,inform,True,True,
26,yes,affirm,affirm,True,True,
27,alright do you have the phone number for that one,request,request,True,True,
28,noise,null,null,True,True,
29,what is the price range,request,request,True,True,
30,thank you good bye,thankyou,thankyou,True,True,
31,doesnt matter,inform,inform,True,True,
32,address,request,request,True,True,
33,belgium,inform,inform,True,True,
34,address,request,request,True,True,
35,and the phone number,request,request,True,True,
36,and what kind of food do they serve,request,request,True,True,
37,address,request,request,True,True,
38,i dont care,inform,inform,True,True,
39,moderately priced restaurant,inform,inform,True,True,
40,any,inform,inform,True,True,
41,any kind,inform,inform,True,True,
42,how about,null,reqalts,False,True,
43,modern europene,null,null,True,True,
44,what is the price range,request,request,True,True,
45,doesnt matter,inform,inform,True,True,
46,yes,affirm,affirm,True,True,
47,moderately priced in south part,inform,inform,True,True,
48,cantonese food,inform,inform,True,True,
49,a restaurant in the south part of town serving pan asian food,inform,inform,True,True,
50,whats the address,request,request,True,True,
51,what is the address,request,request,True,True,
52,thank you goodbye,thankyou,thankyou,True,True,
53,whats the address,request,request,True,True,
54,and what is the price range,request,request,True,True,
55,the address,request,request,True,True,
56,uh yes a cheap restaurant,affirm,affirm,True,True,
57,what type of food is it,request,request,True,True,
58,doesnt matter,inform,inform,True,True,
59,address,request,request,True,True,
60,could you give me a address,request,request,True,True,
61,what is the phone number,request,request,True,True,
62,portugese,inform,inform,True,True,
63,dont care,inform,inform,True,True,
64,im looking for a cheap restaurant in the west part of town,inform,inform,True,True,
65,thank you good bye,thankyou,thankyou,True,True,
66,how about indian type food,reqalts,reqalts,True,True,
67,uh north side of town german food,inform,inform,True,True,
68,chinses,inform,inform,True,True,
69,whats the address,request,request,True,True,
70,yes,affirm,affirm,True,True,
71,portuguese food,inform,inform,True,True,
72,thank you good bye,thankyou,thankyou,True,True,
73,ah how bout a turkish type of food,reqalts,request,False,True,
74,italian,inform,inform,True,True,
75,what is the price range,request,request,True,True,
76,expensive,inform,inform,True,True,
77,what is the address,request,request,True,True,
78,thank you good bye,thankyou,thankyou,True,True,
79,thank you good bye,thankyou,thankyou,True,True,
80,i dont care,inform,inform,True,True,
81,how about indian food,reqalts,reqalts,True,True,
82,chinese food,inform,inform,True,True,
83,german food,inform,inform,True,True,
84,does it what kind of food does it serve,request,request,True,True,
85,chinese food,inform,inform,True,True,
86,unintelligible,null,null,True,True,
87,address,request,request,True,True,
88,thank you goodbye,thankyou,thankyou,True,True,
89,an area,request,request,True,True,
90,sil,null,null,True,True,
91,what is the address and the type of food,request,request,True,True,
92,yes knocking,affirm,affirm,True,True,
93,okay how bout thai food,reqalts,inform,False,True,
94,im looking for a moderately priced restaurant and it should be in the north of town,inform,inform,True,True,
95,im looking for an expensive restaurant that serves european food,inform,inform,True,True,
96,welsh food,inform,inform,True,True,
97,thai food,inform,inform,True,True,
98,im looking for french food,inform,inform,True,True,
99,moroccan food,inform,inform,True,True,
100,does it serve fusion food,confirm,confirm,True,True,
101,what is the address,request,request,True,True,
102,how about indian food,reqalts,reqalts,True,True,
103,any,inform,inform,True,True,
104,pan asian food,inform,inform,True,True,
105,i dont care,inform,inform,True,True,
106,area of venue,request,request,True,True,
107,post code,request,request,True,True,
108,i dont care,inform,inform,True,True,
109,expensive restaurant in the south part of town,inform,inform,True,True,
110,vietnamese food,inform,inform,True,True,
111,whats the post code,request,request,True,True,
112,any,inform,inform,True,True,
113,what is the address,request,request,True,True,
114,anywhere,inform,inform,True,True,
115,mediterranean restaurant in any part of town,inform,inform,True,True,
116,sil,null,null,True,True,
117,thank you good bye,thankyou,thankyou,True,True,
118,yes,affirm,affirm,True,True,
119,whats the address,request,request,True,True,
120,unintelligible,null,null,True,True,
121,what about chinese food,reqalts,reqalts,True,True,
122,im looking for a cheap restaurant in the east part of town,inform,inform,True,True,
123,thank you good bye,thankyou,thankyou,True,True,
124,what food is available in the south part of town,request,request,True,True,
125,is there anything else,reqalts,reqalts,True,True,
126,asian food,inform,inform,True,True,
127,turkish food,inform,inform,True,True,
128,thank you good bye,thankyou,thankyou,True,True,
129,creative,inform,inform,True,True,
130,west,inform,inform,True,True,
131,east,inform,inform,True,True,
132,and the post code,request,request,True,True,
133,you good bye,bye,bye,True,True,
134,moderate restaurant kosher food,inform,inform,True,True,
135,phone number,request,request,True,True,
136,thank you,thankyou,thankyou,True,True,
137,looking for a restaurant that serves portuguese food,inform,inform,True,True,
138,whats the phone number,request,request,True,True,
139,chinese food,inform,inform,True,True,
140,a cheap,inform,inform,True,True,
141,thank you good bye,thankyou,thankyou,True,True,
142,east,inform,inform,True,True,
143,im looking for vegetarian food in any price range,inform,inform,True,True,
144,steakhouse,inform,inform,True,True,
145,noise anything expensive,inform,inform,True,True,
146,i would like afghan food,inform,inform,True,True,
147,sil,null,null,True,True,
148,dont care,inform,inform,True,True,
149,i do not care,inform,inform,True,True,
150,sil,null,null,True,True,
151,thank you good bye,thankyou,thankyou,True,True,
152,korean,inform,inform,True,True,
153,noise north part of town,inform,inform,True,True,
154,i would like,null,null,True,True,
155,the west,inform,inform,True,True,
156,south,inform,inform,True,True,
157,anything else,reqalts,reqalts,True,True,
158,right,affirm,affirm,True,True,
159,food,inform,inform,True,True,
160,central,inform,inform,True,True,
161,it does not matter,inform,inform,True,True,
